distance_between,description,child,parent,do_not_evaluate
1,0-Cholera,0-A00,0-A00-A09,TRUE
1,0-Cholera,0-A00,2-A00,TRUE
1,0-Intestinal infectious diseases,0-A00-A09,0-A00-B99,TRUE
1,0-Intestinal infectious diseases,0-A00-A09,2-A00-A09,TRUE
1,0-Certain infectious and parasitic diseases,0-A00-B99,0-Root,TRUE
1,0-Certain infectious and parasitic diseases,0-A00-B99,2-A00-B99,TRUE
1,"0-Cholera due to Vibrio cholerae 01, biovar cholerae",0-A00.0,0-A00,TRUE
1,"0-Cholera due to Vibrio cholerae 01, biovar cholerae",0-A00.0,2-A00.0,TRUE
1,"0-Cholera due to Vibrio cholerae 01, biovar eltor",0-A00.1,0-A00,TRUE
1,"0-Cholera due to Vibrio cholerae 01, biovar eltor",0-A00.1,2-A00.1,TRUE
1,"0-Cholera, unspecified",0-A00.9,0-A00,TRUE
1,"0-Cholera, unspecified",0-A00.9,2-A00.9,TRUE
1,0-Typhoid and paratyphoid fevers,0-A01,0-A00-A09,TRUE
1,0-Typhoid and paratyphoid fevers,0-A01,2-A01,TRUE
1,0-Typhoid fever,0-A01.0,0-A01,TRUE
1,0-Typhoid fever,0-A01.0,2-A01.0,TRUE
1,"0-Typhoid fever, unspecified",0-A01.00,0-A01.0,TRUE
1,"0-Typhoid fever, unspecified",0-A01.00,2-A01.00,TRUE
1,0-Typhoid meningitis,0-A01.01,0-A01.0,TRUE
1,0-Typhoid meningitis,0-A01.01,2-A01.01,TRUE
1,0-Typhoid fever with heart involvement,0-A01.02,0-A01.0,TRUE
1,0-Typhoid fever with heart involvement,0-A01.02,2-A01.02,TRUE
1,0-Typhoid pneumonia,0-A01.03,0-A01.0,TRUE
1,0-Typhoid pneumonia,0-A01.03,2-A01.03,TRUE
1,0-Typhoid arthritis,0-A01.04,0-A01.0,TRUE
1,0-Typhoid arthritis,0-A01.04,2-A01.04,TRUE
1,0-Typhoid osteomyelitis,0-A01.05,0-A01.0,TRUE
1,0-Typhoid osteomyelitis,0-A01.05,2-A01.05,TRUE
1,0-Typhoid fever with other complications,0-A01.09,0-A01.0,TRUE
1,0-Typhoid fever with other complications,0-A01.09,2-A01.09,TRUE
1,0-Paratyphoid fever A,0-A01.1,0-A01,TRUE
1,0-Paratyphoid fever A,0-A01.1,2-A01.1,TRUE
1,0-Paratyphoid fever B,0-A01.2,0-A01,TRUE
1,0-Paratyphoid fever B,0-A01.2,2-A01.2,TRUE
1,0-Paratyphoid fever C,0-A01.3,0-A01,TRUE
1,0-Paratyphoid fever C,0-A01.3,2-A01.3,TRUE
1,"0-Paratyphoid fever, unspecified",0-A01.4,0-A01,TRUE
1,"0-Paratyphoid fever, unspecified",0-A01.4,2-A01.4,TRUE
1,0-Other salmonella infections,0-A02,0-A00-A09,TRUE
1,0-Other salmonella infections,0-A02,2-A02,TRUE
1,0-Salmonella enteritis,0-A02.0,0-A02,TRUE
1,0-Salmonella enteritis,0-A02.0,2-A02.0,TRUE
1,0-Salmonella sepsis,0-A02.1,0-A02,TRUE
1,0-Salmonella sepsis,0-A02.1,2-A02.1,TRUE
1,0-Localized salmonella infections,0-A02.2,0-A02,TRUE
1,0-Localized salmonella infections,0-A02.2,2-A02.2,TRUE
1,"0-Localized salmonella infection, unspecified",0-A02.20,0-A02.2,TRUE
1,"0-Localized salmonella infection, unspecified",0-A02.20,2-A02.20,TRUE
1,0-Salmonella meningitis,0-A02.21,0-A02.2,TRUE
1,0-Salmonella meningitis,0-A02.21,2-A02.21,TRUE
1,0-Salmonella pneumonia,0-A02.22,0-A02.2,TRUE
1,0-Salmonella pneumonia,0-A02.22,2-A02.22,TRUE
1,0-Salmonella arthritis,0-A02.23,0-A02.2,TRUE
1,0-Salmonella arthritis,0-A02.23,2-A02.23,TRUE
1,0-Salmonella osteomyelitis,0-A02.24,0-A02.2,TRUE
1,0-Salmonella osteomyelitis,0-A02.24,2-A02.24,TRUE
1,0-Salmonella pyelonephritis,0-A02.25,0-A02.2,TRUE
1,0-Salmonella pyelonephritis,0-A02.25,2-A02.25,TRUE
1,0-Salmonella with other localized infection,0-A02.29,0-A02.2,TRUE
1,0-Salmonella with other localized infection,0-A02.29,2-A02.29,TRUE
1,0-Other specified salmonella infections,0-A02.8,0-A02,TRUE
1,0-Other specified salmonella infections,0-A02.8,2-A02.8,TRUE
1,"0-Salmonella infection, unspecified",0-A02.9,0-A02,TRUE
1,"0-Salmonella infection, unspecified",0-A02.9,2-A02.9,TRUE
1,0-Shigellosis,0-A03,0-A00-A09,TRUE
1,0-Shigellosis,0-A03,2-A03,TRUE
1,0-Shigellosis due to Shigella dysenteriae,0-A03.0,0-A03,TRUE
1,0-Shigellosis due to Shigella dysenteriae,0-A03.0,2-A03.0,TRUE
1,0-Shigellosis due to Shigella flexneri,0-A03.1,0-A03,TRUE
1,0-Shigellosis due to Shigella flexneri,0-A03.1,2-A03.1,TRUE
1,0-Shigellosis due to Shigella boydii,0-A03.2,0-A03,TRUE
1,0-Shigellosis due to Shigella boydii,0-A03.2,2-A03.2,TRUE
1,0-Shigellosis due to Shigella sonnei,0-A03.3,0-A03,TRUE
1,0-Shigellosis due to Shigella sonnei,0-A03.3,2-A03.3,TRUE
1,0-Other shigellosis,0-A03.8,0-A03,TRUE
1,0-Other shigellosis,0-A03.8,2-A03.8,TRUE
1,"0-Shigellosis, unspecified",0-A03.9,0-A03,TRUE
1,"0-Shigellosis, unspecified",0-A03.9,2-A03.9,TRUE
1,0-Other bacterial intestinal infections,0-A04,0-A00-A09,TRUE
1,0-Other bacterial intestinal infections,0-A04,2-A04,TRUE
1,0-Enteropathogenic Escherichia coli infection,0-A04.0,0-A04,TRUE
1,0-Enteropathogenic Escherichia coli infection,0-A04.0,0-Escherichia coli,TRUE
1,0-Enteropathogenic Escherichia coli infection,0-A04.0,2-A04.0,TRUE
1,0-Enterotoxigenic Escherichia coli infection,0-A04.1,0-A04,TRUE
1,0-Enterotoxigenic Escherichia coli infection,0-A04.1,0-Escherichia coli,TRUE
1,0-Enterotoxigenic Escherichia coli infection,0-A04.1,2-A04.1,TRUE
1,0-Enteroinvasive Escherichia coli infection,0-A04.2,0-A04,TRUE
1,0-Enteroinvasive Escherichia coli infection,0-A04.2,0-Escherichia coli,TRUE
1,0-Enteroinvasive Escherichia coli infection,0-A04.2,2-A04.2,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,0-A04,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,0-Escherichia coli,TRUE
1,0-Enterohemorrhagic Escherichia coli infection,0-A04.3,2-A04.3,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,0-A04,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,0-Escherichia coli,TRUE
1,0-Other intestinal Escherichia coli infections,0-A04.4,2-A04.4,TRUE
1,0-Campylobacter enteritis,0-A04.5,0-A04,TRUE
1,0-Campylobacter enteritis,0-A04.5,2-A04.5,TRUE
1,0-Enteritis due to Yersinia enterocolitica,0-A04.6,0-A04,TRUE
1,0-Enteritis due to Yersinia enterocolitica,0-A04.6,2-A04.6,TRUE
1,0-Enterocolitis due to Clostridium difficile,0-A04.7,0-A04,TRUE
1,0-Enterocolitis due to Clostridium difficile,0-A04.7,2-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, recurrent",0-A04.71,0-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, recurrent",0-A04.71,2-A04.71,TRUE
1,"0-Enterocolitis due to Clostridium difficile, not specified as recurrent",0-A04.72,0-A04.7,TRUE
1,"0-Enterocolitis due to Clostridium difficile, not specified as recurrent",0-A04.72,2-A04.72,TRUE
1,0-Other specified bacterial intestinal infections,0-A04.8,0-A04,TRUE
1,0-Other specified bacterial intestinal infections,0-A04.8,2-A04.8,TRUE
1,"0-Bacterial intestinal infection, unspecified",0-A04.9,0-A04,TRUE
1,"0-Bacterial intestinal infection, unspecified",0-A04.9,2-A04.9,TRUE
1,"0-Other bacterial foodborne intoxications, not elsewhere classified",0-A05,0-A00-A09,TRUE
1,"0-Other bacterial foodborne intoxications, not elsewhere classified",0-A05,2-A05,TRUE
1,0-Foodborne staphylococcal intoxication,0-A05.0,0-A05,TRUE
1,0-Foodborne staphylococcal intoxication,0-A05.0,2-A05.0,TRUE
1,0-Botulism food poisoning,0-A05.1,0-A05,TRUE
1,0-Botulism food poisoning,0-A05.1,2-A05.1,TRUE
1,0-Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0-A05.2,0-A05,TRUE
1,0-Foodborne Clostridium perfringens [Clostridium welchii] intoxication,0-A05.2,0-Clostridium perfringens,TRUE
