code	date	n
0-A08.4	2026/06/22	4
0-R11.2	2026/06/22	4
0-A08.4	2026/06/21	3
0-R11.2	2026/06/21	3
0-A08.4	2026/06/25	4
0-R11.2	2026/06/25	4
0-A08.4	2026/06/29	5
0-R11.2	2026/06/29	5
0-A08.4	2026/06/30	4
0-R11.2	2026/06/30	4
1-A08.4	2026/06/25	1
1-R11.2	2026/06/25	1
1-A08.4	2026/06/27	1
1-R11.2	2026/06/27	1
0-A08.4	2026/06/24	6
0-R11.2	2026/06/24	6
0-A08.4	2026/06/27	1
0-R11.2	2026/06/27	1
1-A08.4	2026/06/22	2
1-R11.2	2026/06/22	2
1-A08.4	2026/06/29	1
1-R11.2	2026/06/29	1
0-A08.4	2026/06/28	5
0-R11.2	2026/06/28	5
0-A08.4	2026/06/26	2
0-R11.2	2026/06/26	2
0-A08.4	2026/06/23	1
0-R11.2	2026/06/23	1
0-A00	2026/05/30	1
0-R10.A	2026/05/14	1
0-R62.59	2026/05/14	1
0-R16	2026/05/20	1
0-A02.21	2026/06/25	1
0-R57	2026/06/25	1
1-R63.0	2026/06/12	1
1-R19.7	2026/05/10	1
0-J03.00	2026/05/27	1
0-R68.82	2026/05/27	1
0-R61	2026/04/12	1
0-R19.31	2026/06/28	1
0-A02.1	2026/04/23	1
0-R10.12	2026/04/17	1
0-R61	2026/04/17	1
0-J04.3	2026/06/09	1
0-R68.0	2026/06/11	2
0-A08.11	2026/04/26	1
1-R19.0	2026/04/30	1
1-R68.83	2026/04/30	1
0-J04.10	2026/05/01	1
0-R13.12	2026/06/10	1
0-R11.10	2026/05/26	1
0-J03.00	2026/05/22	1
0-A05	2026/05/09	1
0-R61	2026/05/09	1
1-R19.7	2026/05/27	1
0-A06.81	2026/04/10	1
1-R19.7	2026/04/02	1
0-A01.1	2026/06/08	1
0-R19.2	2026/05/02	1
0-J01.81	2026/05/10	1
0-R19.31	2026/05/10	1
0-R60	2026/05/10	1
0-R19.09	2026/04/07	1
1-A08.11	2026/04/18	1
1-R11.0	2026/04/18	1
1-R68.83	2026/04/18	1
0-R10.82	2026/05/01	1
0-A02.21	2026/06/30	1
1-A05.1	2026/04/28	1
1-A04.71	2026/05/06	1
0-A07.1	2026/04/26	1
0-A03	2026/05/24	1
0-R10.813	2026/05/24	1
0-R56.9	2026/05/24	1
1-R62.51	2026/05/14	1
0-R57	2026/06/17	1
0-J03.90	2026/06/24	1
1-R10	2026/04/25	1
0-A03.1	2026/05/03	1
0-R10.822	2026/04/25	1
0-R68.83	2026/06/28	2
1-R19.7	2026/05/12	1
0-J03.0	2026/04/18	1
0-R60.1	2026/04/18	1
0-A00	2026/06/29	1
0-R10.813	2026/06/29	1
0-R62.51	2026/06/29	1
0-R19.02	2026/05/31	1
0-A03.1	2026/04/16	1
0-A05.1	2026/04/12	1
0-R19.02	2026/04/12	1
0-R62.59	2026/04/12	2
0-A06.0	2026/04/29	1
0-J04.10	2026/06/03	1
0-J01	2026/06/25	1
0-R62.59	2026/06/25	1
0-R11.10	2026/05/14	1
1-A06.0	2026/04/09	1
0-J03.90	2026/06/29	1
1-A02.21	2026/04/20	1
1-R16	2026/04/20	1
1-A00.1	2026/06/28	1
0-A05.2	2026/05/01	1
1-A03.1	2026/05/25	1
1-R63	2026/05/25	1
0-A02.21	2026/04/15	1
0-R10.822	2026/04/15	1
0-R56.9	2026/04/15	1
0-R10.12	2026/06/07	2
1-A03	2026/05/22	1
0-J01.81	2026/05/19	1
1-J01.81	2026/04/04	1
1-A04.71	2026/04/15	1
0-R19.2	2026/04/13	1
0-R62.59	2026/04/13	1
1-J01	2026/04/02	2
0-R65.20	2026/05/26	1
1-A03	2026/05/04	1
0-A02.22	2026/06/01	1
0-R19.31	2026/06/01	1
0-A05.2	2026/05/13	1
0-J01.81	2026/05/13	1
0-R19.02	2026/05/13	1
0-A02.22	2026/04/17	1
0-R11.0	2026/04/24	1
0-J04.10	2026/04/03	1
0-R19.0	2026/04/03	1
0-R63.0	2026/04/03	1
1-A05	2026/04/05	1
0-R10.813	2026/04/07	1
0-R10.813	2026/05/26	1
0-R62.51	2026/05/26	1
0-A02.1	2026/06/06	1
0-R19.2	2026/06/06	1
0-R65.20	2026/06/06	1
0-A03	2026/05/22	2
0-J04.3	2026/04/02	1
0-R19.2	2026/04/02	1
0-R60	2026/04/02	1
1-J03.90	2026/05/08	1
1-R65.20	2026/05/08	1
0-J03.90	2026/04/27	2
0-A03	2026/05/05	1
0-R19.2	2026/05/05	1
0-J03.00	2026/04/06	2
0-A08.11	2026/06/03	2
0-R19.2	2026/06/03	1
0-A00	2026/05/07	1
0-J03.00	2026/05/07	1
0-R68.82	2026/05/07	1
0-R10.12	2026/05/10	1
1-R19.09	2026/05/28	1
0-R11.10	2026/06/21	1
1-A02.21	2026/05/03	1
1-R16	2026/05/03	1
0-A04.71	2026/06/25	1
0-R63	2026/06/25	1
0-J01.0	2026/06/18	2
0-R11.10	2026/06/18	1
0-R56.9	2026/06/18	1
0-R10	2026/06/21	1
0-R57	2026/06/21	2
0-A02.21	2026/04/24	1
0-J04.3	2026/05/09	1
0-A00	2026/05/05	1
0-R62.59	2026/05/05	1
1-R19.05	2026/05/24	1
0-R62.51	2026/06/10	1
0-A04.71	2026/06/05	1
0-A02.1	2026/04/15	2
0-J03.90	2026/04/15	2
0-R10.813	2026/04/15	2
0-R68.83	2026/05/24	1
1-A08.11	2026/06/24	1
1-R19.02	2026/06/24	1
0-R19.09	2026/06/17	1
1-A00.1	2026/05/24	1
1-J01	2026/05/24	1
1-R11.10	2026/05/24	1
0-A01.1	2026/04/19	1
0-J04.3	2026/06/27	2
0-R10.23	2026/06/27	1
0-A04.71	2026/05/09	1
0-J03.0	2026/05/09	1
0-A03	2026/06/30	1
0-A05	2026/04/10	2
0-R10.23	2026/04/10	1
0-J01.0	2026/05/01	1
0-A03.1	2026/04/26	1
0-R68.82	2026/04/26	1
0-R15.2	2026/05/05	1
0-J01.0	2026/05/07	1
1-A05.1	2026/04/19	1
1-R57	2026/04/19	1
0-J03.00	2026/06/03	1
1-J01	2026/05/15	1
0-R65.20	2026/05/19	1
0-J01	2026/04/05	1
0-R19.2	2026/05/24	1
0-A02.1	2026/06/05	1
0-R15.2	2026/06/05	1
0-R57	2026/06/05	1
1-J04.3	2026/04/12	1
0-A03.1	2026/06/10	1
0-R10	2026/04/03	1
0-R68.83	2026/04/13	1
0-A02.21	2026/05/30	1
0-J03.00	2026/06/27	1
0-A06.0	2026/04/17	1
0-J03.0	2026/04/17	1
0-R63.0	2026/04/17	1
0-J04.10	2026/06/02	1
0-R61	2026/05/08	1
0-A00.1	2026/06/01	1
1-R19.31	2026/06/19	1
0-R10.23	2026/06/28	1
0-R19.7	2026/06/03	1
1-J03.00	2026/06/27	1
0-R63	2026/04/24	1
0-R11.0	2026/04/12	1
0-J04.10	2026/04/08	1
0-R10	2026/04/08	1
0-A03.1	2026/06/29	1
0-R19.05	2026/06/29	2
0-A00	2026/04/03	1
0-R68.0	2026/04/03	1
0-R60	2026/05/16	1
0-A00.1	2026/05/03	1
0-R11.0	2026/05/03	1
1-A03.1	2026/04/19	1
0-R63	2026/05/27	1
0-A00.1	2026/06/29	1
1-J04.10	2026/04/22	1
1-R10.813	2026/04/22	1
0-R68.82	2026/06/24	2
0-R68.83	2026/04/11	1
0-A03	2026/06/25	1
0-R62.59	2026/05/02	1
1-A05	2026/06/04	1
1-J03.90	2026/06/04	2
1-A08.11	2026/06/09	1
1-J01.81	2026/06/09	1
0-J03.0	2026/05/27	1
0-R60	2026/05/27	2
0-R10.822	2026/06/29	1
1-A03.1	2026/04/04	1
1-R68.83	2026/04/04	1
0-A05.2	2026/04/27	1
0-R11.10	2026/04/27	1
0-R60	2026/04/27	2
1-A03.1	2026/06/07	1
1-J04.3	2026/06/07	1
1-J03.00	2026/05/20	1
0-J03.90	2026/05/21	1
0-A06.0	2026/04/11	1
0-R10.23	2026/06/11	1
0-R19.2	2026/05/31	2
1-J04.10	2026/05/16	1
1-R11.13	2026/05/16	1
1-R57	2026/05/16	1
1-R11.0	2026/05/25	1
1-J01.81	2026/04/30	1
1-R19.05	2026/04/30	1
1-A02.1	2026/05/20	1
1-J01	2026/05/20	1
1-R63	2026/05/20	1
0-R10.12	2026/04/16	2
0-R56.9	2026/04/16	1
0-R65.20	2026/04/27	2
0-A02.1	2026/06/13	1
0-R11.13	2026/06/13	1
0-R68.0	2026/06/13	1
0-R56.9	2026/05/14	1
0-A02.22	2026/04/12	1
0-R10.A	2026/05/12	1
0-R63	2026/06/05	1
0-R13.12	2026/05/15	1
0-A00.1	2026/05/16	1
0-R62.59	2026/05/26	1
0-A02.21	2026/06/13	1
0-J03.00	2026/06/13	1
0-R19.02	2026/06/13	1
1-A07.1	2026/04/19	1
0-R62.59	2026/06/08	1
0-J03.00	2026/04/15	1
0-R10.23	2026/04/15	1
0-A01.1	2026/06/10	1
0-J04.10	2026/05/25	1
0-R19.02	2026/06/27	1
0-R61	2026/06/27	1
1-A01.1	2026/06/03	1
0-R19.05	2026/06/04	1
1-R56.9	2026/06/12	1
0-A01.1	2026/06/01	3
0-J01	2026/06/01	2
0-R68.83	2026/06/01	1
0-J01	2026/05/18	1
0-R11.0	2026/05/18	1
0-J01.81	2026/06/17	1
0-R10.A	2026/06/17	1
0-J03.0	2026/04/25	1
0-R11.10	2026/04/25	1
0-J01.81	2026/06/16	1
0-A03	2026/04/11	1
0-R11.13	2026/04/11	1
0-J04.3	2026/04/25	1
0-A04.71	2026/05/17	1
0-R10.23	2026/05/17	1
1-R15.2	2026/04/21	2
1-R56.9	2026/04/21	1
1-J04.10	2026/04/23	2
1-R10	2026/04/23	1
0-R61	2026/05/04	1
0-R65	2026/04/09	1
0-J03.00	2026/06/07	1
1-J03.0	2026/06/08	1
1-R10.23	2026/06/08	1
